Release_Type,Movie_Name,Lifetime Gross,Year,Release_ID,Movie_ID,file_name
Original Release,Dying to Survive,451183391,2018,gr3524612613,tt7362036,Collections of Top Grossing Films
Original Release,Ocean's Eleven,450717150,2001,gr2971685381,tt0240772,Collections of Top Grossing Films
Original Release,"My People, My Country",450064993,2019,gr902124037,tt10147382,Collections of Top Grossing Films
Original Release,Thor,449326618,2011,gr584995333,tt0800369,Collections of Top Grossing Films
Original Release,Pearl Harbor,449220945,2001,gr2728940037,tt0213149,Collections of Top Grossing Films
Original Release,Tarzan,448191819,1999,gr2698793477,tt0120855,Collections of Top Grossing Films
Original Release,La La Land,446486224,2016,gr2781106693,tt3783958,Collections of Top Grossing Films
Original Release,Men in Black II,445135288,2002,gr1372344837,tt0120912,Collections of Top Grossing Films
Original Release,The Bourne Ultimatum,444100035,2007,gr369316357,tt0440963,Collections of Top Grossing Films
Original Release,The Mummy Returns,443280904,2001,gr4044575237,tt0209163,Collections of Top Grossing Films
Original Release,Alvin and the Chipmunks: The Squeakquel,443140005,2009,gr1564430853,tt1231580,Collections of Top Grossing Films
Original Release,Les Misérables,441809770,2012,gr589124101,tt1707386,Collections of Top Grossing Films
Original Release,The Exorcist,441306145,1973,gr3225768453,tt0070047,Collections of Top Grossing Films
Original Release,Mrs. Doubtfire,441286195,1993,gr1273123333,tt0107614,Collections of Top Grossing Films
Original Release,Terminator Genisys,440603537,2015,gr1182290437,tt1340138,Collections of Top Grossing Films
Original Release,Beauty and the Beast,440118382,1991,gr191779333,tt0101414,Collections of Top Grossing Films
Original Release,Warcraft,439048914,2016,gr2367640069,tt0803096,Collections of Top Grossing Films
Original Release,A Star Is Born,436188866,2018,gr1007768069,tt1517451,Collections of Top Grossing Films
Original Release,The Greatest Showman,434993183,2017,gr3788919301,tt1485796,Collections of Top Grossing Films
Original Release,Terminator 3: Rise of the Machines,433371112,2003,gr993677829,tt0181852,Collections of Top Grossing Films
Original Release,Pokémon Detective Pikachu,433005346,2019,gr3275444741,tt5884052,Collections of Top Grossing Films
Original Release,Die Another Day,431971116,2002,gr2035896837,tt0246460,Collections of Top Grossing Films
Original Release,The Secret Life of Pets 2,430051293,2019,gr2298958341,tt5113040,Collections of Top Grossing Films
Original Release,Cast Away,429632142,2000,gr2299220485,tt0162222,Collections of Top Grossing Films
Original Release,Rampage,428028233,2018,gr4083569157,tt2231461,Collections of Top Grossing Films
Original Release,The King's Speech,427374317,2010,gr1902924293,tt1504320,Collections of Top Grossing Films
Original Release,The Matrix Revolutions,427344031,2003,gr1110528517,tt0242653,Collections of Top Grossing Films
Original Release,The Intouchables,426588510,2011,gr3502920197,tt1675434,Collections of Top Grossing Films
Original Release,Django Unchained,425368238,2012,gr2115785221,tt1853728,Collections of Top Grossing Films
Original Release,Dances with Wolves,424208848,1990,gr3067695621,tt0099348,Collections of Top Grossing Films
